1:< proc ,101 >
51:< [ ,303 >
51:< i ,1 >
51:< ] ,304 >
51:< ; ,302 >
52:< end ,114 >
53:< else ,106 >
54:< begin ,113 >
55:< call ,110 >
55:< fuction ,1 >
55:< ( ,305 >
55:< b ,1 >
55:< , ,301 >
55:< c ,1 >
55:< , ,301 >
55:< d ,1 >
55:< ) ,306 >
56:< end ,114 >
58:< i ,1 >
58:< = ,307 >
58:< i ,1 >
58:< + ,201 >
58:< 1 ,2 >
58:< ; ,302 >
59:< avg ,1 >
59:< = ,307 >
59:< sum ,1 >
59:< * ,203 >
59:< 1 ,2 >
59:< ; ,302 >
60:< end ,114 >
62:< a ,1 >
62:< [ ,303 >
62:< 1 ,2 >
62:< ] ,304 >
62:< ] ,304 >
62:< >= ,207 >
62:< 1 ,2 >
62:< ; ,302 >
62:< ; ,302 >
64:< if ,105 >
64:< i ,1 >
64:< <= ,205 >
64:< < ,204 >
64:< 3 ,2 >
64:< then ,107 >
65:< begin ,113 >
66:< a ,1 >
66:< = ,307 >
66:< a ,1 >
66:< + ,201 >
66:< 1 ,2 >
66:< ; ,302 >
67:< end ,114 >
68:< # ,-1 >
当前待输入: proc maxminavg ; integer [ 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: maxminavg ; integer [ 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; integer [ 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: integer [ 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: [ 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

X -> integer
规约	当前待输入: [ 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: 3 ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ] a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

C -> ε
规约	当前待输入: a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

C -> [ num ] C
规约	当前待输入: a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

T -> X C
规约	当前待输入: a ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

D -> T id ;
规约	当前待输入: integer max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

X -> integer
规约	当前待输入: max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

C -> ε
规约	当前待输入: max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

T -> X C
规约	当前待输入: max ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

D -> T id ;
规约	当前待输入: integer min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

X -> integer
规约	当前待输入: min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

C -> ε
规约	当前待输入: min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

T -> X C
规约	当前待输入: min ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

D -> T id ;
规约	当前待输入: integer sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

X -> integer
规约	当前待输入: sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

C -> ε
规约	当前待输入: sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

T -> X C
规约	当前待输入: sum ; integer i ; real avg ; a [ 1 ] = 1 ; a [ 2 ] = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

